ID,text,target,url,date
ko_gpt_0," ""삼성·LG, TV·스마트폰 시장점유율 1위""",0,,0000.00.00. 오전 0:00
ko_gpt_1," ""한국, IT 경쟁력 세계 3위""",0,,0000.00.00. 오전 0:00
ko_gpt_2," ""한국, 일본에 이어 세계 3번째로 5G 상용화""",0,,0000.00.00. 오전 0:00
ko_gpt_3," ""이제 집에 간다""발묶인 괌 관광객들 일주일만 귀국길 엑소더스",0,,0000.00.00. 오전 0:00
ko_gpt_4," ""스마트폰으로 TV시청""...LG전자, 세계 최초 'TV+인터넷' 서비스",0,,0000.00.00. 오전 0:00
ko_gpt_5," ""한국, 미국과 FTA 체결하면...""",0,,0000.00.00. 오전 0:00
ko_gpt_6," ""삼성, 애플에 완승"" vs ""애플, 갤럭시에 완패""",0,,0000.00.00. 오전 0:00
ko_gpt_7," ""삼성, 애플에 밀려 스마트폰 점유율 2위""",0,,0000.00.00. 오전 0:00
ko_gpt_8," ""중국, 화웨이 제재에 동참""...美 ""안보 우려""",0,,0000.00.00. 오전 0:00
ko_gpt_9," ""애플, 아이폰6·아이패드 에어2 공개""",0,,0000.00.00. 오전 0:00
ko_gpt_10," ""한국이 스마트폰 최강국""",0,,0000.00.00. 오전 0:00
ko_gpt_11," ""애플·구글, 삼성·LG에 특허료 내라""",0,,0000.00.00. 오전 0:00
ko_gpt_12," ""한국, 구글에 또 졌다""...구글, 국내 포털에 '역공'",0,,0000.00.00. 오전 0:00
ko_gpt_13," ""한국, 美에 철강 관세 면제 요청""",0,,0000.00.00. 오전 0:00
ko_gpt_14," ""스마트폰, 이젠 '게임기'""",0,,0000.00.00. 오전 0:00
ko_gpt_15," ""갤럭시S6, 최고의 스펙과 가격으로 승부""",0,,0000.00.00. 오전 0:00
ko_gpt_16," ""이번엔 꼭 성공"" vs ""이제 그만""",0,,0000.00.00. 오전 0:00
ko_gpt_17," ""스마트폰으로 TV를 본다""...LG전자, 세계 첫 구글TV 내놓는다",0,,0000.00.00. 오전 0:00
ko_gpt_18," ""한국도 애플처럼""",0,,0000.00.00. 오전 0:00
ko_gpt_19," ""한국 IT산업, 중국 추격에 샌드위치 신세""",0,,0000.00.00. 오전 0:00
ko_gpt_20," ""한국, IT강국 맞나""...정부·기업 '엇박자'",0,,0000.00.00. 오전 0:00
ko_gpt_21," ""갤럭시S8, 카메라 성능이 좋네""",0,,0000.00.00. 오전 0:00
ko_gpt_22," ""아이폰X, 5G 지원 안돼""",0,,0000.00.00. 오전 0:00
ko_gpt_23," ""우리는 모두 연결되어 있다.""",0,,0000.00.00. 오전 0:00
ko_gpt_24," '갤럭시S8', '아이폰7', '아이폰8', '아이폰7 플러스', '아이폰8 플러스', '아이폰8', '아이폰8 플러스', '아이폰8',",0,,0000.00.00. 오전 0:00
ko_gpt_25," ""한국은 IT강국""vs""IT는 중국이...""",0,,0000.00.00. 오전 0:00
ko_gpt_26," ""아이폰5S가 출시되면 아이폰5C 가격이 떨어질까?""",0,,0000.00.00. 오전 0:00
ko_gpt_27," ""한국은 IT강국"" vs ""중국은 IT후진국""",0,,0000.00.00. 오전 0:00
ko_gpt_28," ""삼성, 갤럭시S2로 애플 잡는다""",0,,0000.00.00. 오전 0:00
ko_gpt_29," ""한국 IT, 중국에 추월당하는 건 시간문제""",0,,0000.00.00. 오전 0:00
ko_gpt_30," ""갤럭시S8, 카메라가 좋다"" vs ""갤럭시S7보다 못하다""",0,,0000.00.00. 오전 0:00
ko_gpt_31," ""한국은 IT 강국"" vs ""IT는 중국이 종주국""",0,,0000.00.00. 오전 0:00
ko_gpt_32," ""애플과 구글이 한국을 무시한다""",0,,0000.00.00. 오전 0:00
ko_gpt_33," ""이제 집에 간다""",0,,0000.00.00. 오전 0:00
ko_gpt_34," ""삼성, 애플에 특허침해 소송"" vs ""애플, 특허침해 없다""",0,,0000.00.00. 오전 0:00
ko_gpt_35," ""이제는 해외로""...삼성·LG전자, 中·동남아 공략 강화",0,,0000.00.00. 오전 0:00
ko_gpt_36," ""이제는 집에 간다""발묶인 괌 관광객들 일주일만 귀국길 엑소더스",0,,0000.00.00. 오전 0:00
ko_gpt_37," ""아날로그로 돌아가자""...한국의 '디지털'은 어디로",0,,0000.00.00. 오전 0:00
ko_gpt_38," ""한국, 세계 최초 5G 상용화""...""세계 최초는 중요하지 않다""",0,,0000.00.00. 오전 0:00
ko_gpt_39," ""한국은 IT강국""",0,,0000.00.00. 오전 0:00
ko_gpt_40," ""구글이 좋아할 뉴스""...구글, 뉴스앱에 '뉴스' 추가한다",0,,0000.00.00. 오전 0:00
ko_gpt_41," '아이폰6' 출시일, 9월 중순으로 늦춰질듯",0,,0000.00.00. 오전 0:00
ko_gpt_42, '갤럭시S3' 출시 앞두고 이통3사 보조금 경쟁,0,,0000.00.00. 오전 0:00
ko_gpt_43," ""아이패드 미니가 온다""애플, 4인치 아이패드 미니 공개",0,,0000.00.00. 오전 0:00
ko_gpt_44," ""한국, 미국의 이란 제재 동참해야"" vs ""이란, 한국 제재 동참해야""",0,,0000.00.00. 오전 0:00
ko_gpt_45," ""구글, 안드로이드에 구글맵 탑재""",0,,0000.00.00. 오전 0:00
ko_gpt_46," 애플, 아이폰5S·아이폰5C 공개",0,,0000.00.00. 오전 0:00
ko_gpt_47," 페이스북, ""가짜뉴스는 우리의 적""",0,,0000.00.00. 오전 0:00
ko_gpt_48," ""저도 이제 스마트폰을 써요""",0,,0000.00.00. 오전 0:00
ko_gpt_49," ""갤럭시 S6, 아이폰6보다 좋다""...성능·디자인 호평",0,,0000.00.00. 오전 0:00
ko_gpt_50," ""구글은 왜 우리를 못살게 구는 걸까?""",0,,0000.00.00. 오전 0:00
ko_gpt_51," [IT과학]""갤럭시S2는 내가 직접 만들었다""",0,,0000.00.00. 오전 0:00
ko_gpt_52," ""아이폰4S, 아직도 안 샀어?""",0,,0000.00.00. 오전 0:00
ko_gpt_53," ""나를 따르라""...삼성, 갤럭시S4 공개",0,,0000.00.00. 오전 0:00
ko_gpt_54," ""한국이 IT강국이 된 이유는...""",0,,0000.00.00. 오전 0:00
ko_gpt_55," ""이제 집에 간다""",0,,0000.00.00. 오전 0:00
ko_gpt_56," ""갤럭시S6, 갤럭시S6 엣지, 갤럭시S6 엣지 플러스""",0,,0000.00.00. 오전 0:00
ko_gpt_57," ""삼성·LG, 중국 스마트폰 시장서 고전""...점유율 1%대",0,,0000.00.00. 오전 0:00
ko_gpt_58," ""한국은 IT 강국"" vs ""IT는 중국 것""",0,,0000.00.00. 오전 0:00
ko_gpt_59," ""한국, IT분야에서 세계적 수준""",0,,0000.00.00. 오전 0:00
ko_gpt_60," ""한국, IT강국 맞나요?""",0,,0000.00.00. 오전 0:00
ko_gpt_61," ""한국 IT 경쟁력은 아직도 높다""",0,,0000.00.00. 오전 0:00
ko_gpt_62," 삼성, 갤럭시S6에 탑재된 '삼성페이'로 중국 시장 공략",0,,0000.00.00. 오전 0:00
ko_gpt_63, '갤럭시S6' 출시일 앞당겨질 듯...9월초로 앞당겨질 듯,0,,0000.00.00. 오전 0:00
ko_gpt_64," [단독] '아이폰7' 출시일도 못정했다...""9월에 나온다""",0,,0000.00.00. 오전 0:00
ko_gpt_65," ""한국 IT업계, 중국에 밀리고 있다""",0,,0000.00.00. 오전 0:00
ko_gpt_66," ""구글, 안드로이드에 구글 검색엔진 넣는다""",0,,0000.00.00. 오전 0:00
ko_gpt_67," ""한국 IT기술, 세계 최고 수준""",0,,0000.00.00. 오전 0:00
ko_gpt_68," ""삼성, 갤럭시S3로 애플 잡는다""",0,,0000.00.00. 오전 0:00
ko_gpt_69," ""한국, 일본보다 IT 경쟁력 높아""",0,,0000.00.00. 오전 0:00
ko_gpt_70," ""한국, 구글 지도 반출 불허""",0,,0000.00.00. 오전 0:00
ko_gpt_71," ""삼성, 애플 등에 특허료 내라""",0,,0000.00.00. 오전 0:00
ko_gpt_72," ""한국, 중국에 밀리고 일본에 치이고""",0,,0000.00.00. 오전 0:00
ko_gpt_73," ""갤럭시S5, 지문인식 기능 탑재""",0,,0000.00.00. 오전 0:00
ko_gpt_74," ""모바일게임이 대세""...신작 게임 출시 봇물",0,,0000.00.00. 오전 0:00
ko_gpt_75," ""갤럭시S3, 애플 아이폰6에 밀린다""",0,,0000.00.00. 오전 0:00
ko_gpt_76," ""한국 IT기업, 중국 진출 성공사례 많아""",0,,0000.00.00. 오전 0:00
ko_gpt_77," ""중국이 미국 국채를 팔지 않을 것""",0,,0000.00.00. 오전 0:00
ko_gpt_78," ""애플, 아이폰6S·아이패드프로 공개""",0,,0000.00.00. 오전 0:00
ko_gpt_79," ""한국, 4차 산업혁명 주도권 잡아야""",0,,0000.00.00. 오전 0:00
ko_gpt_80," ""구글, 한국서만 1조 매출""",0,,0000.00.00. 오전 0:00
ko_gpt_81," ""한국 IT업계, 중국에 밀리고 있다""",0,,0000.00.00. 오전 0:00
ko_gpt_82," ""한국, 스마트폰 보급률 세계 1위""",0,,0000.00.00. 오전 0:00
ko_gpt_83," ""한국은 IT강국""",0,,0000.00.00. 오전 0:00
ko_gpt_84," '갤럭시S6', 다음달 10일부터 국내 출시",0,,0000.00.00. 오전 0:00
ko_gpt_85," ""삼성, 애플에 판정승""",0,,0000.00.00. 오전 0:00
ko_gpt_86," ""삼성도 애플처럼..."" vs ""애플이 삼성을 따라한 것""",0,,0000.00.00. 오전 0:00
ko_gpt_87," ""갤럭시S4 LTE-A, 갤럭시 노트3와 비교해보니""",0,,0000.00.00. 오전 0:00
ko_gpt_88," ""한국, 인터넷 속도 세계 1위""",0,,0000.00.00. 오전 0:00
ko_gpt_89," ""우리는 왜 이런 것도 못해?""",0,,0000.00.00. 오전 0:00
ko_gpt_90," ""다음주에 또 만나요"" '포켓몬 고' 열풍",0,,0000.00.00. 오전 0:00
ko_gpt_91," ""갤럭시S3, 아이폰5보다 성능 좋아"" vs ""아이폰5가 더 좋다""",0,,0000.00.00. 오전 0:00
ko_gpt_92," ""삼성전자, 갤럭시S5로 애플 잡는다""",0,,0000.00.00. 오전 0:00
ko_gpt_93," ""아이폰6는 꼭 사야 한다""",0,,0000.00.00. 오전 0:00
ko_gpt_94," ""갤럭시S2, 아이폰4S보다 카메라 성능 우수""",0,,0000.00.00. 오전 0:00
ko_gpt_95," ""더 이상은 못 참아""",0,,0000.00.00. 오전 0:00
ko_gpt_96," ""삼성·LG, OLED TV로 OLED 전쟁 불붙었다""",0,,0000.00.00. 오전 0:00
ko_gpt_97," ""삼성, 애플에 특허침해 제소""",0,,0000.00.00. 오전 0:00
ko_gpt_98," ""한국은 IT강국""...세계가 놀란 'IT 코리아'",0,,0000.00.00. 오전 0:00
ko_gpt_99," ""보안이 생명""...KT텔레캅, 무인경비 서비스 출시",0,,0000.00.00. 오전 0:00
ko_gpt_100," [IT과학] ""아이폰, 안드로이드폰보다 더 좋은 것 같아""",0,,0000.00.00. 오전 0:00
ko_gpt_101," ""세계 최초로..."" vs ""세계 최초는 없다""",0,,0000.00.00. 오전 0:00
ko_gpt_102," ""갤럭시S8, S7보다 좋네""",0,,0000.00.00. 오전 0:00
ko_gpt_103," ""나는 '아이폰'이 아니라 '아이패드'를 샀다""는 애플의 변명",0,,0000.00.00. 오전 0:00
ko_gpt_104," ""스마트폰은 이제 내 손안에""",0,,0000.00.00. 오전 0:00
ko_gpt_105," ""스마트폰으로 영화·드라마 본다""",0,,0000.00.00. 오전 0:00
